Trial,Fast,Slow,CAGR,Sharpe,Drawdown,Returns
2724,46,74,0.04,0.43,-0.26,1.3488922772340308
1238,26,88,0.04,0.46,-0.26,1.348767711957251
1239,26,89,0.04,0.46,-0.26,1.3486930346987303
2656,45,81,0.04,0.43,-0.26,1.3486217780255276
1083,24,83,0.04,0.46,-0.21,1.3485323923002839
1540,30,90,0.04,0.45,-0.24,1.3484909538977012
1273,26,123,0.04,0.45,-0.26,1.3484123592186952
1169,25,94,0.04,0.46,-0.25,1.3483055333481289
1170,25,95,0.04,0.46,-0.25,1.3483055333481289
2358,41,83,0.04,0.43,-0.26,1.3482607056767486
561,17,86,0.04,0.49,-0.21,1.3481901551650775
1526,30,76,0.04,0.44,-0.27,1.3481755484579598
475,16,75,0.04,0.48,-0.25,1.3481615097980684
2021,36,121,0.04,0.43,-0.3,1.3480516294591693
872,21,97,0.04,0.47,-0.22,1.3478581684630238
2506,43,81,0.04,0.43,-0.26,1.3477234416182002
1457,29,82,0.04,0.46,-0.25,1.3476363369118878
551,17,76,0.04,0.48,-0.25,1.3475785407276297
83,11,58,0.04,0.51,-0.15,1.3475648085667855
970,22,120,0.04,0.46,-0.26,1.347431634999373
27,10,77,0.04,0.53,-0.18,1.3474037327940063
2582,44,82,0.04,0.43,-0.26,1.347106565756381
10,10,60,0.04,0.51,-0.15,1.3469416678657185
1023,23,98,0.04,0.46,-0.23,1.346443558391865
1236,26,86,0.04,0.46,-0.25,1.3464424983434584
2435,42,85,0.04,0.43,-0.26,1.3463973906647708
725,19,100,0.04,0.47,-0.22,1.3463949093774508
1022,23,97,0.04,0.46,-0.23,1.3463385498688452
78,11,53,0.04,0.49,-0.15,1.346315371774601
967,22,117,0.04,0.46,-0.26,1.3462039350654074
2583,44,83,0.04,0.43,-0.26,1.3461776096539149
3009,50,60,0.04,0.44,-0.21,1.3461532844238673
1309,27,84,0.04,0.46,-0.25,1.3458598138874869
1456,29,81,0.04,0.45,-0.25,1.3458231460120196
243,13,68,0.04,0.49,-0.23,1.345747119972548
1383,28,83,0.04,0.46,-0.25,1.3456827379731524
549,17,74,0.04,0.48,-0.23,1.3456347883206203
1027,23,102,0.04,0.46,-0.23,1.3456186609157788
2509,43,84,0.04,0.43,-0.26,1.3455769759284415
2359,41,84,0.04,0.43,-0.26,1.3454972265246274
1453,29,78,0.04,0.45,-0.27,1.3454528757021522
1636,31,111,0.04,0.44,-0.26,1.3453039664928788
1637,31,112,0.04,0.44,-0.26,1.3453039664928788
871,21,96,0.04,0.47,-0.22,1.3449597817594563
2503,43,78,0.04,0.42,-0.26,1.3448049743157164
1601,31,76,0.04,0.44,-0.28,1.3447777309457574
966,22,116,0.04,0.46,-0.25,1.3447183967542955
1314,27,89,0.04,0.45,-0.27,1.3447134772083729
2868,48,68,0.04,0.43,-0.26,1.3446352259111731
1749,33,74,0.04,0.44,-0.3,1.3446144397621416
1235,26,85,0.04,0.45,-0.25,1.34409264942763
2653,45,78,0.04,0.42,-0.26,1.343739339969316
469,16,69,0.04,0.48,-0.25,1.34372652607844
2581,44,81,0.04,0.42,-0.26,1.3436088031909403
2284,40,84,0.04,0.42,-0.26,1.3436064715890668
962,22,112,0.04,0.46,-0.25,1.3433707777266513
1082,24,82,0.04,0.46,-0.22,1.343297256904564
1160,25,85,0.04,0.45,-0.24,1.3432957597342474
1274,26,124,0.04,0.44,-0.26,1.3432866153291156
514,16,114,0.04,0.48,-0.22,1.3432593483423951
300,14,50,0.04,0.49,-0.16,1.3432057725889512
722,19,97,0.04,0.47,-0.22,1.342999878881995
799,20,99,0.04,0.46,-0.21,1.3425269798723398
2068,37,93,0.04,0.42,-0.26,1.3423819027511195
824,20,124,0.04,0.47,-0.26,1.342076014423124
964,22,114,0.04,0.46,-0.25,1.3419116870657908
9,10,59,0.04,0.5,-0.16,1.3418296710192092
333,14,83,0.04,0.49,-0.22,1.3417329344605686
2161,38,111,0.04,0.41,-0.3,1.3416625545290877
834,21,59,0.04,0.46,-0.24,1.3416521910937935
814,20,114,0.04,0.46,-0.22,1.3415790016410272
1633,31,108,0.04,0.43,-0.27,1.3414372751122978
2065,37,90,0.04,0.43,-0.28,1.3413803690483859
968,22,118,0.04,0.46,-0.26,1.34108658609785
969,22,119,0.04,0.46,-0.26,1.3410865860978498
963,22,113,0.04,0.46,-0.25,1.3410634550299423
870,21,95,0.04,0.46,-0.22,1.340989775918712
2287,40,87,0.04,0.42,-0.26,1.3408308385216796
155,12,55,0.04,0.49,-0.16,1.3407914362557731
843,21,68,0.04,0.46,-0.26,1.3407059758594506
2000,36,100,0.04,0.43,-0.27,1.3406490040225332
2001,36,101,0.04,0.43,-0.27,1.3406490040225332
1311,27,86,0.04,0.45,-0.27,1.3406252219971313
845,21,70,0.04,0.46,-0.25,1.3405550850306795
1543,30,93,0.04,0.44,-0.24,1.3405081938490293
1542,30,92,0.04,0.44,-0.24,1.3405081938490293
2432,42,82,0.04,0.42,-0.26,1.3404899996786381
2142,38,92,0.04,0.42,-0.26,1.3404551228252057
2216,39,91,0.04,0.42,-0.26,1.3404551228252055
1312,27,87,0.04,0.45,-0.27,1.3404414227589732
1207,26,57,0.04,0.46,-0.28,1.340255110721275
2726,46,76,0.04,0.42,-0.26,1.3401724090218277
2507,43,82,0.04,0.42,-0.26,1.3401478872531571
696,19,71,0.04,0.46,-0.27,1.3400775299277452
822,20,122,0.04,0.46,-0.26,1.340064925981158
687,19,62,0.04,0.46,-0.25,1.3399510804531305
225,13,50,0.04,0.48,-0.17,1.3397545902591346
664,18,114,0.04,0.47,-0.22,1.3396590309532992
2136,38,86,0.04,0.43,-0.29,1.339572064318998
893,21,118,0.04,0.45,-0.25,1.3394878166053426
